ngram_ids,count,smoothed_count
"(101, 127)",30,30.01
"(153, 160)",29,29.01
"(88, 1128)",29,29.01
"(292, 34)",29,29.01
"(88, 883)",29,29.01
"(4, 26)",29,29.01
"(343, 102)",29,29.01
"(155, 102)",29,29.01
"(98, 88)",29,29.01
"(4, 317)",29,29.01
"(9, 521)",29,29.01
"(93, 116)",29,29.01
"(102, 188)",29,29.01
"(97, 9)",29,29.01
"(54, 300)",29,29.01
"(9, 214)",29,29.01
"(89, 241)",29,29.01
"(421, 34)",29,29.01
"(109, 252)",28,28.01
"(127, 134)",28,28.01
"(184, 492)",28,28.01
"(136, 54)",28,28.01
"(34, 528)",28,28.01
"(574, 1184)",28,28.01
"(11, 433)",28,28.01
"(6, 123)",28,28.01
"(93, 582)",28,28.01
"(574, 9)",28,28.01
"(102, 135)",28,28.01
"(923, 101)",28,28.01
"(93, 101)",28,28.01
"(72, 93)",28,28.01
"(254, 88)",28,28.01
"(9, 787)",28,28.01
"(96, 1014)",28,28.01
"(88, 959)",28,28.01
"(98, 97)",28,28.01
"(129, 9)",27,27.01
"(101, 204)",27,27.01
"(101, 90)",27,27.01
"(88, 452)",27,27.01
"(96, 382)",27,27.01
"(11, 28)",27,27.01
"(11, 792)",27,27.01
"(404, 9)",27,27.01
"(93, 219)",27,27.01
"(102, 446)",27,27.01
"(134, 281)",26,26.01
"(98, 214)",26,26.01
"(11, 1389)",26,26.01
"(213, 245)",26,26.01
"(188, 198)",26,26.01
"(117, 9)",26,26.01
"(290, 93)",26,26.01
"(787, 1713)",26,26.01
"(116, 372)",26,26.01
"(93, 136)",26,26.01
"(67, 6)",26,26.01
"(181, 54)",26,26.01
"(1816, 1806)",26,26.01
"(101, 519)",26,26.01
"(420, 88)",26,26.01
"(372, 181)",26,26.01
"(232, 6)",26,26.01
"(102, 10)",26,26.01
"(371, 9)",25,25.01
"(88, 889)",25,25.01
"(88, 545)",25,25.01
"(258, 188)",25,25.01
"(11, 31)",25,25.01
"(134, 201)",25,25.01
"(281, 114)",25,25.01
"(289, 136)",25,25.01
"(54, 377)",25,25.01
"(11, 1204)",25,25.01
"(88, 240)",25,25.01
"(89, 923)",25,25.01
"(11, 41)",25,25.01
"(290, 54)",25,25.01
"(213, 114)",25,25.01
"(97, 106)",24,24.01
"(11, 416)",24,24.01
"(11, 476)",24,24.01
"(101, 132)",24,24.01
"(134, 102)",24,24.01
"(350, 97)",24,24.01
"(99, 11)",24,24.01
"(523, 11)",24,24.01
"(290, 88)",24,24.01
"(191, 106)",24,24.01
"(96, 54)",24,24.01
"(11, 523)",24,24.01
"(114, 88)",24,24.01
"(313, 172)",24,24.01
"(416, 11)",24,24.01
"(93, 97)",24,24.01
"(54, 293)",24,24.01
"(442, 181)",24,24.01
"(99, 102)",24,24.01
"(11, 983)",24,24.01
"(109, 270)",23,23.01
"(153, 201)",23,23.01
"(230, 101)",23,23.01
"(34, 442)",23,23.01
"(446, 9)",23,23.01
"(99, 9)",23,23.01
"(88, 382)",23,23.01
"(88, 55)",23,23.01
"(211, 101)",23,23.01
"(11, 492)",23,23.01
"(88, 1006)",23,23.01
"(108, 101)",23,23.01
"(416, 6)",23,23.01
"(11, 30)",23,23.01
"(426, 88)",23,23.01
"(258, 166)",22,22.01
"(11, 918)",22,22.01
"(9, 128)",22,22.01
"(132, 9)",22,22.01
"(34, 495)",22,22.01
"(11, 1109)",22,22.01
"(117, 128)",22,22.01
"(310, 11)",22,22.01
"(135, 369)",22,22.01
"(11, 848)",22,22.01
"(6, 66)",22,22.01
"(128, 994)",22,22.01
"(637, 9)",22,22.01
"(34, 552)",22,22.01
"(220, 134)",22,22.01
"(193, 88)",22,22.01
"(446, 127)",22,22.01
"(11, 1312)",22,22.01
"(102, 344)",22,22.01
"(792, 88)",22,22.01
"(54, 9)",22,22.01
"(34, 497)",22,22.01
